Recommendation_Rank,Recommendation_Score,Dataset_ID,Publication_Title,Year,PMID / DOI,Repository,Species,Tissue,Disease_or_Condition,Technology,Cell_Number,Neural_Related_Cell_Type,Marker_Genes,Evidence_Level,Neural_Cell_Prevalence,Cell_Communication_Analysis,Spatial_Location_Info,Application_Tags,Download_Link,Accession_or_Project_Link,Notes
229,45.06,CELLxGENE:99e317c0-1fab-4f73-b511-859e752fd1c3,Sex-Specific Control of Human Heart Maturation by the Progesterone Receptor,2024,10.1161/CIRCULATIONAHA.120.051921,CELLxGENE Discover,Homo sapiens,apical region of left ventricle,normal,snRNA-seq,51176,neuron | matched labels: neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/59c9aa5c-ee73-4252-b149-5cb011f924b1.h5ad ; collection: https://cellxgene.cziscience.com/collections/68e7e5b7-4dc9-4609-832e-7656aa6182ba,https://cellxgene.cziscience.com/collections/68e7e5b7-4dc9-4609-832e-7656aa6182ba,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
230,45.04,CELLxGENE:2e9d2f32-4cfb-49b5-b990-cbf4c241214e,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,2024,10.1038/s41467-023-40505-5,CELLxGENE Discover,Homo sapiens,apex of heart; heart left ventricle; heart right ventricle; interventricular septum,normal,snRNA-seq,49359,neuron | matched labels: cardiac neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/f35a8c3f-b3a0-4373-a4cd-c937db7f7ec2.h5ad ; collection: https://cellxgene.cziscience.com/collections/20eea6c8-9d64-42c9-9b6f-c11b5249e0e9,https://cellxgene.cziscience.com/collections/20eea6c8-9d64-42c9-9b6f-c11b5249e0e9,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
231,44.83,CELLxGENE:5d4415d1-cfcd-4b43-b2b2-138b5afd68af,Epithelium-enriched single cell transcriptomes from the ascending colon of pediatric and adult control subjects,2026,10.1016/j.jcmgh.2025.101665,CELLxGENE Discover,Homo sapiens,right colon,normal,scRNA-seq,35957,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/45566c3d-0484-4b2b-858b-8aea1783f21f.h5ad ; collection: https://cellxgene.cziscience.com/collections/3b8b7fec-ed65-4483-9579-9f98f5a93a74,https://cellxgene.cziscience.com/collections/3b8b7fec-ed65-4483-9579-9f98f5a93a74,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
232,44.65,CELLxGENE:d7dcfd8f-2ee7-4385-b9ac-e074c23ed190,Spatiotemporal immune zonation of the human kidney,2022,10.1126/science.aat5031,CELLxGENE Discover,Homo sapiens,kidney,normal,scRNA-seq,27197,neuron | matched labels: neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/4ae88372-a0dc-4f9e-b93a-18ade11be813.h5ad ; collection: https://cellxgene.cziscience.com/collections/120e86b4-1195-48c5-845b-b98054105eec,https://cellxgene.cziscience.com/collections/120e86b4-1195-48c5-845b-b98054105eec,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
233,44.62,CELLxGENE:e6a11140-2545-46bc-929e-da243eed2cae,Tabula Sapiens,2021,10.1126/science.abl4896,CELLxGENE Discover,Homo sapiens,cardiac atrium; cardiac ventricle; heart; heart right ventricle; right cardiac atrium,normal,scRNA-seq,25832,neuron | matched labels: neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/82197577-7914-45c0-9fde-6597a1da920f.h5ad ; collection: https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
234,44.61,CELLxGENE:944dedde-03e5-456d-996d-7250f7247b85,Epithelium-enriched single cell transcriptomes from the ascending colon of pediatric and adult control subjects,2026,10.1016/j.jcmgh.2025.101665,CELLxGENE Discover,Homo sapiens,right colon,normal,scRNA-seq,25641,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/517c552c-48ff-4f15-9f23-55a70f3f054b.h5ad ; collection: https://cellxgene.cziscience.com/collections/3b8b7fec-ed65-4483-9579-9f98f5a93a74,https://cellxgene.cziscience.com/collections/3b8b7fec-ed65-4483-9579-9f98f5a93a74,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
235,44.22,CELLxGENE:facc0385-978b-4a16-a9ec-c7961292e10f,iPain atlas,2024,10.1038/s41467-024-52052-8,CELLxGENE Discover,Mus musculus,trigeminal ganglion,normal; peripheral neuropathy,snRNA-seq,14057,neuron | matched labels: trigeminal neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,针灸作用相关,https://datasets.cellxgene.cziscience.com/cdca77c2-db26-431a-9f51-36cfb7675b87.h5ad ; collection: https://cellxgene.cziscience.com/collections/03608e22-227a-4492-910b-3cb3f16f952e,https://cellxgene.cziscience.com/collections/03608e22-227a-4492-910b-3cb3f16f952e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
236,44.14,CELLxGENE:d6dfdef1-406d-4efb-808c-3c5eddbfe0cb,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,2022,10.1016/j.cell.2021.11.031,CELLxGENE Discover,Homo sapiens,ascending colon; descending colon; hepatic cecum; hepatic flexure of colon; rectum; sigmoid colon; transverse colon,colon sessile serrated adenoma/polyp; colorectal cancer; hyperplastic polyp; normal; tubular adenoma; tubulovillous adenoma,scRNA-seq,57723,enteroendocrine cell | matched labels: intestinal enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/6f8f0b95-3779-4c0e-824d-4810c39f008c.h5ad ; collection: https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
237,44.01,CELLxGENE:829a3cd1-a466-49f1-b2e9-d3f6b7f392e2,Progressive plasticity during colorectal cancer metastasis,2025,10.1038/s41586-024-08560-0,CELLxGENE Discover,Homo sapiens,caecum; chest wall; descending colon; hepatic flexure of colon; liver; lung; peritoneum; rectum; sigmoid colon; transverse colon,colorectal cancer; normal,scRNA-seq,47107,enteroendocrine cell | matched labels: enteroendocrine cell of colon,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/81bd8922-b69a-45ea-9b2a-032c480c0e37.h5ad ; collection: https://cellxgene.cziscience.com/collections/1cbfb478-2c7f-4d15-b522-9f74e9fe52a8,https://cellxgene.cziscience.com/collections/1cbfb478-2c7f-4d15-b522-9f74e9fe52a8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
238,43.9,CELLxGENE:1fe63353-9e75-4824-aa30-ed8d84be748c,Tabula Muris Senis,2021,10.1038/s41586-020-2496-1,CELLxGENE Discover,Mus musculus,heart,normal,scRNA-seq,8613,neuron | matched labels: cardiac neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/951e10f3-050f-4059-abc3-5adc360b777b.h5ad ; collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb,https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
239,43.88,CELLxGENE:c52de62a-058d-4d78-a464-bdf552378f43,Spatiotemporal immune zonation of the human kidney,2022,10.1126/science.aat5031,CELLxGENE Discover,Homo sapiens,kidney,normal,scRNA-seq,8345,neuron | matched labels: neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/bccfbe51-bb43-4da5-8ecf-5607bda68289.h5ad ; collection: https://cellxgene.cziscience.com/collections/120e86b4-1195-48c5-845b-b98054105eec,https://cellxgene.cziscience.com/collections/120e86b4-1195-48c5-845b-b98054105eec,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
240,43.85,CELLxGENE:83b5e943-a1d5-4164-b3f2-f7a37f01b524,Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies,2022,10.1126/science.abo1984,CELLxGENE Discover,Homo sapiens,apex of heart; heart left ventricle; heart right ventricle; interventricular septum,arrhythmogenic right ventricular cardiomyopathy; dilated cardiomyopathy; non-compaction cardiomyopathy; normal,snRNA-seq,7999,neuron | matched labels: cardiac neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/73b3b585-499e-4336-9ff8-2913d106c8b4.h5ad ; collection: https://cellxgene.cziscience.com/collections/e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb,https://cellxgene.cziscience.com/collections/e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
241,43.56,CELLxGENE:ed839584-54ea-4914-ab0d-4ecc5a649bf1,"Tabula Microcebus: A transcriptomic cell atlas of mouse lemur, an emerging primate model organism",2025,10.1038/s41586-025-09113-9,CELLxGENE Discover,Microcebus murinus,cardiac muscle tissue; heart; heart left ventricle; heart right ventricle; left cardiac atrium; right cardiac atrium,normal,scRNA-seq,5053,neuron | matched labels: neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/361a0105-3715-408a-b8ba-a60a04449d22.h5ad ; collection: https://cellxgene.cziscience.com/collections/a137437b-d284-4a27-b1e9-36958a8f92c1,https://cellxgene.cziscience.com/collections/a137437b-d284-4a27-b1e9-36958a8f92c1,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
242,43.55,CELLxGENE:e69d2744-9033-4afd-80c0-d395be398ec2,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,2022,10.1016/j.cell.2022.11.005,CELLxGENE Discover,Homo sapiens,lung,normal,spatial transcriptomics,4992,neuroendocrine cell | matched labels: pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/808b803d-5e5e-4659-a9a4-9858456ccaff.h5ad ; collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
243,43.55,CELLxGENE:56139b1e-9fc5-4aab-9058-0102bc7cc74a,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,2022,10.1016/j.cell.2022.11.005,CELLxGENE Discover,Homo sapiens,lung,normal,spatial transcriptomics,4992,neuroendocrine cell | matched labels: pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/633e1b14-4911-439b-8980-26156718a19b.h5ad ; collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
244,43.55,CELLxGENE:30354fd6-4c1b-4083-b6da-8cfbcce1f7b9,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,2022,10.1016/j.cell.2022.11.005,CELLxGENE Discover,Homo sapiens,lung,normal,spatial transcriptomics,4992,neuroendocrine cell | matched labels: pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/89e334a9-3977-4ec7-98dc-716ed06bddc3.h5ad ; collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
245,43.55,CELLxGENE:2adc282f-60f1-4afa-a990-940065af4b53,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,2022,10.1016/j.cell.2022.11.005,CELLxGENE Discover,Homo sapiens,lung,normal,spatial transcriptomics,4992,neuroendocrine cell | matched labels: pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/e48bea7e-8cd8-4b59-80a0-34ec6419f4d2.h5ad ; collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
246,43.55,CELLxGENE:1c6f271e-dfc0-48b5-8fb4-65d297a7666c,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,2022,10.1016/j.cell.2022.11.005,CELLxGENE Discover,Homo sapiens,lung,normal,spatial transcriptomics,4992,neuroendocrine cell | matched labels: pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/fb506eb2-7411-4fd3-89b2-b1d45912d29c.h5ad ; collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
247,43.48,CELLxGENE:5ee552f5-834c-4766-92c8-5a09dfd45767,Progressive plasticity during colorectal cancer metastasis,2025,10.1038/s41586-024-08560-0,CELLxGENE Discover,Homo sapiens,caecum; descending colon; hepatic flexure of colon; rectum; sigmoid colon; transverse colon,colorectal cancer; normal,scRNA-seq,21026,enteroendocrine cell | matched labels: enteroendocrine cell of colon,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/f20aae78-a32b-4914-8a98-7478c48324d3.h5ad ; collection: https://cellxgene.cziscience.com/collections/1cbfb478-2c7f-4d15-b522-9f74e9fe52a8,https://cellxgene.cziscience.com/collections/1cbfb478-2c7f-4d15-b522-9f74e9fe52a8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
248,43.21,CELLxGENE:4b5afdf9-9299-4655-9218-c9f67b3776e7,Progressive plasticity during colorectal cancer metastasis,2025,10.1038/s41586-024-08560-0,CELLxGENE Discover,Homo sapiens,caecum; hepatic flexure of colon; liver; sigmoid colon,colorectal cancer; normal,scRNA-seq,13843,enteroendocrine cell | matched labels: enteroendocrine cell of colon,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/dbc8f31b-e54e-4519-a9e2-c6c17765914d.h5ad ; collection: https://cellxgene.cziscience.com/collections/1cbfb478-2c7f-4d15-b522-9f74e9fe52a8,https://cellxgene.cziscience.com/collections/1cbfb478-2c7f-4d15-b522-9f74e9fe52a8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
249,41.48,CELLxGENE:b347446f-2e38-4248-96fb-39acc50f2112,Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer,2025,10.1101/2024.10.23.619925,CELLxGENE Discover,Homo sapiens,prostate gland,prostatic acinar adenocarcinoma,scRNA-seq,20858,neuroendocrine cell | matched labels: prostate neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/8d50e14d-4b9c-48fa-873a-a80f0bea9601.h5ad ; collection: https://cellxgene.cziscience.com/collections/bdac7a53-fe34-4f04-8c46-f9bd5297c099,https://cellxgene.cziscience.com/collections/bdac7a53-fe34-4f04-8c46-f9bd5297c099,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
250,39.78,CELLxGENE:fe4b89d5-461e-440c-a5a8-621b37b122c0,The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,2023,10.1016/j.immuni.2023.01.002,CELLxGENE Discover,Homo sapiens,epithelium of small intestine; ileal epithelium; ileum; ileum lamina propria; lamina propria of small intestine; small intestine,Crohn disease; normal,scRNA-seq,154136,enteroendocrine cell | matched labels: type EC enteroendocrine cell; type L enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯;炎症,https://datasets.cellxgene.cziscience.com/6a6b7339-106f-420b-95ae-c8d2d91f9945.h5ad ; collection: https://cellxgene.cziscience.com/collections/5c868b6f-62c5-4532-9d7f-a346ad4b50a7,https://cellxgene.cziscience.com/collections/5c868b6f-62c5-4532-9d7f-a346ad4b50a7,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
251,39.75,CELLxGENE:e5233a94-9e43-418c-8209-6f1400c31530,Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,2023,10.1158/2159-8290.cd-22-0824,CELLxGENE Discover,Homo sapiens,body of stomach; cardia of stomach; colon; duodenum; esophagogastric junction; ileum; lower esophagus; rectum; submucosal esophageal gland,Barrett esophagus; gastric intestinal metaplasia; gastritis; normal,scRNA-seq,146583,enteroendocrine cell | matched labels: P/D1 enteroendocrine cell; enteroendocrine cell; type G enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/1ec71067-b1e4-45dc-8c94-5c0c65b4af0f.h5ad ; collection: https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b,https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
252,39.52,CELLxGENE:1a2e3350-28a8-4f49-b33c-5b67ceb001f6,Blood and immune development in human fetal bone marrow and Down syndrome,2022,10.1038/s41586-021-03929-x,CELLxGENE Discover,Homo sapiens,bone marrow,normal,scRNA-seq,103228,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/47362a52-4a8c-48ae-8968-00d4e57d1dfc.h5ad ; collection: https://cellxgene.cziscience.com/collections/793fdaec-5067-428a-a9db-ecefe135c945,https://cellxgene.cziscience.com/collections/793fdaec-5067-428a-a9db-ecefe135c945,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
253,39.49,CELLxGENE:5ce42b38-d867-487f-9b40-e8bb00b21d0b,The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,2023,10.1016/j.immuni.2023.01.002,CELLxGENE Discover,Homo sapiens,ascending colon; caecum epithelium; caecum lamina propria; colon; colonic epithelium; descending colon; lamina propria of mucosa of colon; sigmoid colon; sigmoid colon epithelium; sigmoid colon lamina propria; transverse colon epithelium; transverse colon lamina propria,Crohn disease; normal,scRNA-seq,97788,enteroendocrine cell | matched labels: enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯;炎症,https://datasets.cellxgene.cziscience.com/333491b4-ca9b-4369-8706-38f7bb5bcd46.h5ad ; collection: https://cellxgene.cziscience.com/collections/5c868b6f-62c5-4532-9d7f-a346ad4b50a7,https://cellxgene.cziscience.com/collections/5c868b6f-62c5-4532-9d7f-a346ad4b50a7,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
254,39.35,CELLxGENE:773b9b2e-70c8-40be-8cbb-e7b5abab360d,Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,2023,10.1158/2159-8290.cd-22-0824,CELLxGENE Discover,Homo sapiens,body of stomach; cardia of stomach; colon; duodenum; esophagogastric junction; ileum; lower esophagus; rectum,Barrett esophagus; gastric intestinal metaplasia; gastritis; normal,scRNA-seq,79522,enteroendocrine cell | matched labels: P/D1 enteroendocrine cell; enteroendocrine cell; type G enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/5a59e32e-1e37-47ef-ad49-c6fb8637d729.h5ad ; collection: https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b,https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
255,39.22,CELLxGENE:e40c6272-af77-4a10-9385-62a398884f27,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,2022,10.1016/j.cell.2021.11.031,CELLxGENE Discover,Homo sapiens,ascending colon; descending colon; hepatic cecum; hepatic flexure of colon; rectum; sigmoid colon; transverse colon,colon sessile serrated adenoma/polyp; colorectal neoplasm; hyperplastic polyp; normal; tubular adenoma; tubulovillous adenoma,scRNA-seq,65088,enteroendocrine cell | matched labels: intestinal enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/9da034b0-de48-47ab-97f6-21b5f2dbd1a4.h5ad ; collection: https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
256,38.81,CELLxGENE:4dd00779-7f73-4f50-89bb-e2d3c6b71b18,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,2023,10.1016/j.cell.2019.06.029,CELLxGENE Discover,Homo sapiens,caecum epithelium; colonic epithelium; transverse colon epithelium,normal,scRNA-seq,34772,enteroendocrine cell | matched labels: enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯;炎症;伤口修复,https://datasets.cellxgene.cziscience.com/774d77e7-210d-4237-8ca8-8d2bb841a2e4.h5ad ; collection: https://cellxgene.cziscience.com/collections/33d19f34-87f5-455b-8ca5-9023a2e5453d,https://cellxgene.cziscience.com/collections/33d19f34-87f5-455b-8ca5-9023a2e5453d,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
257,38.78,CELLxGENE:9ba03780-4b13-44bc-a7d3-ce532ea0a856,Tabula Sapiens,2021,10.1126/science.abl4896,CELLxGENE Discover,Homo sapiens,mucosa of stomach; muscularis mucosae of stomach; stomach; stomach smooth muscle,normal,scRNA-seq,33064,enteroendocrine cell | matched labels: enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/3e8bd2b2-fe53-4b95-abb2-ce971b4f1c14.h5ad ; collection: https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
258,38.77,CELLxGENE:13b61a7d-5605-4948-ba48-02c588960143,Impaired local intrinsic immunity to SARS-CoV-2 infection in severe COVID-19,2022,10.1016/j.cell.2021.07.023,CELLxGENE Discover,Homo sapiens,nasopharynx,COVID-19; long COVID-19; normal; respiratory failure,scRNA-seq,32588,enteroendocrine cell | matched labels: enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯;炎症,https://datasets.cellxgene.cziscience.com/6a6db93e-901f-4054-90e0-14af5207978a.h5ad ; collection: https://cellxgene.cziscience.com/collections/35d0b748-3eed-43a5-a1c4-1dade5ec5ca0,https://cellxgene.cziscience.com/collections/35d0b748-3eed-43a5-a1c4-1dade5ec5ca0,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
